"Service Request Description","Department","Method Received","Created Date","Block/Address","Street","Ward","Sub-Type"
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 09, 2020 04:02:56 PM","11##","JOSEPHINE","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 20, 2020 08:11:22 AM"," ","NIAGARA ST & HALL AVE","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 04, 2020 10:47:03 AM","23##","FANCHETTE","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","JAN 10, 2020 08:26:06 AM","11##","MOY","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 11, 2020 11:11:40 AM","8##","MERCER","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 03, 2020 04:49:39 PM","13##","WYANDOTTE","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 05, 2020 08:18:10 AM","10##","DROUILLARD","WARD 5"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 05, 2020 10:52:32 AM","40##","TECUMSEH","WARD 5"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 04, 2020 09:22:44 AM","22##","MCDOUGALL","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 10, 2020 12:15:25 PM","24##","GLADSTONE","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 10, 2020 04:24:28 PM"," ","CENTRAL AVE & FRANKLIN ST","WARD 5"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 04, 2020 02:43:14 PM","16##","WYANDOTTE","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 05, 2020 02:59:28 PM","5##","LOUIS","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","JAN 13, 2020 11:58:27 AM","5##","CHILVER","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","JAN 30, 2020 09:32:59 AM","8##","MERCER","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 04, 2020 10:55:33 AM","40##","TECUMSEH","WARD 5"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Web Intake","FEB 02, 2020 03:51:29 PM"," "," ","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 17, 2020 10:30:44 AM"," ","CALIFORNIA AVE & WYANDOTTE ST W","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 17, 2020 10:30:49 AM"," ","CALIFORNIA AVE & COLLEGE AVE","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 17, 2020 10:32:11 AM","9##","CALIFORNIA","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","APR 08, 2020 10:28:10 AM","4##","MOY","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","APR 27, 2020 02:08:58 PM","11##","PELISSIER","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 25, 2020 10:18:25 AM","30##","TECUMSEH","WARD 5"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","E-Mail","MAR 02, 2020 03:07:12 PM","38##","TECUMSEH","WARD 5"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","APR 27, 2020 11:07:38 AM","15##","TECUMSEH","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","APR 01, 2020 02:30:24 PM","5##","RIVERSIDE","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","JAN 28, 2020 01:22:50 PM","24##","WALKER","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","JAN 30, 2020 11:33:58 AM","10##","DROUILLARD","WARD 5"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","JAN 16, 2020 11:51:16 AM","10##","MCKAY","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 10, 2020 11:23:02 AM"," ","CARON AVE & WYANDOTTE ST W","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 11, 2020 02:42:40 PM","15##","LANGLOIS","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","JAN 30, 2020 02:22:12 PM","22##","HOWARD","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 03, 2020 12:52:58 PM","2##","RANDOLPH","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 05, 2020 03:57:17 PM","12##","MCKAY","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 06, 2020 01:57:52 PM","10##","DROUILLARD","WARD 5"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 12, 2020 03:13:33 PM","11##","HOWARD","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 20, 2020 02:47:27 PM","10##","HICKORY","WARD 5"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 21, 2020 01:56:14 PM","18##","HICKORY","WARD 5"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 03, 2020 01:06:41 PM","10##","GOYEAU","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","APR 06, 2020 12:32:51 PM","78##","WYANDOTTE","WARD 6"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 04, 2020 09:37:54 AM","10##","CHURCH","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 01, 2020 08:48:30 AM","30##","TECUMSEH","WARD 5"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","E-Mail","MAY 11, 2020 11:35:20 AM","11##","ST LOUIS","WARD 6"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 11, 2020 11:59:58 AM","12##","MCKAY","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","APR 08, 2020 12:50:04 PM","10##","TECUMSEH","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","JAN 16, 2020 12:43:33 PM","2##","CALIFORNIA","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 24, 2020 11:08:52 AM","12##","HICKORY","WARD 5"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","APR 08, 2020 09:28:12 AM","9##","WINDERMERE","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 12, 2020 09:08:34 AM","12##","MCKAY","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 15, 2020 09:36:52 AM","23##","MOY","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Web Intake","MAY 12, 2020 10:47:48 PM"," "," ","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","APR 20, 2020 01:30:19 PM","13##","MCKAY","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 19, 2020 10:14:29 AM","9##","CHILVER","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 19, 2020 10:15:24 AM","9##","CHILVER","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 04, 2020 11:55:53 AM"," ","WYANDOTTE ST E & MOY AVE","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 16, 2020 01:56:11 PM","33##","MILLEN","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 01, 2020 10:22:29 AM","19##","AUBIN","WARD 5"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 04, 2020 08:55:42 AM","9##","OAK","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","JAN 16, 2020 04:01:29 PM","12##","MCKAY","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","JAN 21, 2020 04:11:16 PM","15##","WYANDOTTE","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","APR 27, 2020 08:42:45 AM","4##","MOY","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 05, 2020 02:46:06 PM","10##","CHURCH","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Web Intake","FEB 11, 2020 04:20:41 PM"," "," ","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Web Intake","APR 01, 2020 10:29:56 AM"," "," ","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 15, 2020 08:55:29 AM","9##","CHILVER","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","E-Mail","MAY 15, 2020 10:59:25 AM","3##","CHURCH","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 14, 2020 01:32:12 PM","2##","OUELLETTE","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 20, 2020 09:41:02 AM","23##","MERCER","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","APR 21, 2020 12:19:02 PM","5##","TOURNIER","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 14, 2020 01:58:54 PM","9##","WINDERMERE","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","E-Mail","MAY 20, 2020 11:46:27 AM","7##","WALKER","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 15, 2020 10:52:48 AM","7##","WYANDOTTE","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Web Intake","MAY 22, 2020 07:55:01 PM"," "," ","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","E-Mail","MAY 22, 2020 11:11:07 AM","17##","PIERRE","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Web Intake","MAY 25, 2020 01:54:17 PM"," "," ","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAY 21, 2020 10:13:39 AM","10##","MOY","WARD 4"," "
